ID,PATHWAYS,SECONDARY-METABOLISM,REACTANTS,PRODUCTS,REACTION-SMILES,REACTION-DIRECTION
RXN-10696,PWY-735,False,CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O).O=O,CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O).OO,CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O).O=O>>CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O).OO,LEFT-TO-RIGHT
RXN-13472,PWY-7058,True,C1(\C2(/C=C(C(/O)=C\C(OC(=O)\C=1)=2)/O)).C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=C/C(=O)NC(=O)3)))([O-])=O),C1(OC3(/C=C(\C=C/C(/C=C1/O[C@H]2([C@@H]([C@H]([C@H](O)[C@H](O2)CO)O)O))=3)/O))(=O).C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2)).[H+],C1(\C2(/C=C(C(/O)=C\C(OC(=O)\C=1)=2)/O)).C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=C/C(=O)NC(=O)3)))([O-])=O)>>C1(OC3(/C=C(\C=C/C(/C=C1/O[C@H]2([C@@H]([C@H]([C@H](O)[C@H](O2)CO)O)O))=3)/O))(=O).C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=C/C(=O)NC(=O)2)).[H+],LEFT-TO-RIGHT
RXN-20434,PWY18C3-1,False,CC(C)CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@@](C([O-])=O)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))).C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5),CC(C)CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@@H](C)C(=O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))).C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).C(=O)=O,CC(C)CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@@](C([O-])=O)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))).C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))[C@@H](O)[C@@H](O)4))=5)>>CC(C)CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@@H](C)C(=O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))).C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)).C(=O)=O,LEFT-TO-RIGHT
RXN-12611,UNK,False,[H+].CC1(\N=C(C(/COP(OP([O-])([O-])=O)([O-])=O)=C\N=1)\N).CC1(\C(\S[C@H](C(=O)[O-])\N=1)=C\COP([O-])(=O)[O-]).CC1(\N=C(C(/COP(OP([O-])([O-])=O)([O-])=O)=C\N=1)\N).[H+],O=P(O)(OP([O-])([O-])=O)[O-].C(=O)=O.CC2(\[N+](/CC1(\C=N/C(\C)=N\C(/N)=1))=C/SC(/CCOP([O-])(=O)[O-])=2).CC2(\[N+](/CC1(\C=N/C(\C)=N\C(/N)=1))=C/SC(/CCOP([O-])(=O)[O-])=2).C(=O)=O.O=P(O)(OP([O-])([O-])=O)[O-],[H+].CC1(\N=C(C(/COP(OP([O-])([O-])=O)([O-])=O)=C\N=1)\N).CC1(\C(\S[C@H](C(=O)[O-])\N=1)=C\COP([O-])(=O)[O-]).CC1(\N=C(C(/COP(OP([O-])([O-])=O)([O-])=O)=C\N=1)\N).[H+]>>O=P(O)(OP([O-])([O-])=O)[O-].C(=O)=O.CC2(\[N+](/CC1(\C=N/C(\C)=N\C(/N)=1))=C/SC(/CCOP([O-])(=O)[O-])=2).CC2(\[N+](/CC1(\C=N/C(\C)=N\C(/N)=1))=C/SC(/CCOP([O-])(=O)[O-])=2).C(=O)=O.O=P(O)(OP([O-])([O-])=O)[O-],
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN,PWY-6964,False,C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O,C(CC([O-])=O)C(=O)C([O-])=O.C(=O)(N)CC[C@H]([NH3+])C([O-])=O.[H+],C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O>>C(CC([O-])=O)C(=O)C([O-])=O.C(=O)(N)CC[C@H]([NH3+])C([O-])=O.[H+],RIGHT-TO-LEFT
RXN-15346,UNK,False,C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O)O1),C(=O)[C@H](O)[C@H](O)[C@@H](COP([O-])([O-])=O)O,C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O)O1)>>C(=O)[C@H](O)[C@H](O)[C@@H](COP([O-])([O-])=O)O,LEFT-TO-RIGHT
2-METHYLACYL-COA-DEHYDROGENASE-RXN,ILEUDEG-PWY,False,CCC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-].[H+],C/C=C(C)/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],CCC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-].[H+]>>C/C=C(C)/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],LEFT-TO-RIGHT
RXN-14753,PWY-4,False,C([C@@H]1([C@@H]([C@@H]([C@H](C(O1)O)O)O)O))([O-])=O,C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-],C([C@@H]1([C@@H]([C@@H]([C@H](C(O1)O)O)O)O))([O-])=O>>C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-],LEFT-TO-RIGHT
RXN-8859,PWY-5660,False,CC4(/[C@@H](OC(=O)[C@H](O)[C@@H]([NH3+])C1(\C=C/C=C\C=1))C[C@@]3(O)([C@@H](OC(=O)C2(\C=C/C=C\C=2))[C@H]5([C@](C)(C(=O)[C@H](OC(C)=O)C(\C(C)(C)3)=4)[C@@H](O)C[C@H]6(OC[C@@](OC(=O)C)56)))).CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1(\C=C/C=C\C=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-],[H+].CC5(/[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)C1(\C=C/C=C\C=1))C2(\C=C/C=C\C=2))C[C@@]4(O)([C@@H](OC(=O)C3(\C=C/C=C\C=3))[C@H]6([C@](C)(C(=O)[C@H](OC(C)=O)C(\C(C)(C)4)=5)[C@@H](O)C[C@H]7(OC[C@@](OC(=O)C)67)))).CC(C)([C@@H](O)C(=O)NCCC(=O)NCCS)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],CC4(/[C@@H](OC(=O)[C@H](O)[C@@H]([NH3+])C1(\C=C/C=C\C=1))C[C@@]3(O)([C@@H](OC(=O)C2(\C=C/C=C\C=2))[C@H]5([C@](C)(C(=O)[C@H](OC(C)=O)C(\C(C)(C)3)=4)[C@@H](O)C[C@H]6(OC[C@@](OC(=O)C)56)))).CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1(\C=C/C=C\C=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]>>[H+].CC5(/[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)C1(\C=C/C=C\C=1))C2(\C=C/C=C\C=2))C[C@@]4(O)([C@@H](OC(=O)C3(\C=C/C=C\C=3))[C@H]6([C@](C)(C(=O)[C@H](OC(C)=O)C(\C(C)(C)4)=5)[C@@H](O)C[C@H]7(OC[C@@](OC(=O)C)67)))).CC(C)([C@@H](O)C(=O)NCCC(=O)NCCS)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-],LEFT-TO-RIGHT
GALACTONOLACTONE-DEHYDROGENASE-RXN,PWY-882,False,C(O)[C@H](O)[C@@H]1([C@@H](O)[C@H](O)C(=O)O1),C(O)[C@H](O)[C@@H]1(C(\[O-])=C(C(=O)O1)\O).[H+],C(O)[C@H](O)[C@@H]1([C@@H](O)[C@H](O)C(=O)O1)>>C(O)[C@H](O)[C@@H]1(C(\[O-])=C(C(=O)O1)\O).[H+],LEFT-TO-RIGHT
