id,class,reactants>reagents>production
RXN-4702,PWY-2861,[CH2:24]([OH:25])[C@@H:16]1[C@@H:17]([OH:26])[C@H:18]([OH:19])[C@@H:20]([OH:21])[C@@H:22]([O:38][P:35]([O:34][P:39](=[O:40])([O-:41])[O:42][CH2:33][C@H:43]2[O:44][C@@H:45]([N:50]3[CH:51]=[CH:52][C:53](=[O:54])[NH:55][C:56]3=[O:57])[C@H:46]([OH:47])[C@@H:48]2[OH:49])([O-:37])=[O:36])[O:23]1.[CH3:1][O:2][C:3]1=[CH:32][CH:31]=[C:6]([C:7]2=[CH:30][O:29][C:28]3=[CH:27][C:14]([O-:15])=[CH:13][C:11]([OH:12])=[C:10]3[C:8]2=[O:9])[CH:5]=[CH:4]1>>[CH3:1][O:2][C:3]1=[CH:32][CH:31]=[C:6](/[C:7]2=[CH:30]/[O:29][C:28]3=[C:10]([C:8]2=[O:9])[C:11]([OH:12])=[CH:13][C:14]([O:15][C@H:16]2[C@H:17]([OH:26])[C@@H:18]([OH:19])[C@H:20]([OH:21])[C@@H:22]([CH2:24][OH:25])[O:23]2)=[CH:27]3)[CH:5]=[CH:4]1.[CH2:33]([O:34][P:35](=[O:36])([O-:37])[O:38][P:39](=[O:40])([O-:41])[O-:42])[C@H:43]1[O:44][C@@H:45]([N:50]2[CH:51]=[CH:52][C:53](=[O:54])[NH:55][C:56]2=[O:57])[C@H:46]([OH:47])[C@@H:48]1[OH:49]
RXN-9103,PWY-5801,[C:4]([O-])(=[O:10])[C:5]1=[C:6](/[OH:7])[C:8]2=[C:1](\[C:2]([OH:11])=[CH:3]/1)[CH:13]=[CH:12]C=[CH:9]2>>[CH:1]1=[CH:13][CH:12]=[C:4]2[C:3](=[CH:2]1)[C:9](=[O:10])[CH:8]=[C:6]([O-:7])[C:5]2=[O:11]
RXN-16372,PWY-7632,[CH2:2]([O:21][C:20](=[O:22])/[CH:4]=[CH:5]/[C:6]1=[CH:12][CH:11]=[C:9]([OH:10])[CH:8]=[CH:7]1)/[CH:1]=[CH:3]/[C:13]1=[CH:19][CH:18]=[C:16]([OH:17])[CH:15]=[CH:14]1>>[CH2:1]=[CH:2][C@H:3](/[CH:4]=[CH:5]/[C:6]1=[CH:12][CH:11]=[C:9]([OH:10])[CH:8]=[CH:7]1)[C:13]1=[CH:19][CH:18]=[C:16]([OH:17])[CH:15]=[CH:14]1.[C:20](=[O:21])=[O:22]
RXN-9195,PWY-5843,[CH3:24][N+:20]1=[CH:19][CH2:23][CH2:22][CH2:21]1.[CH3:18][C:17](=[O:25])[S:16][CH2:15][CH2:14][NH:13][C:11](=[O:12])[CH2:10][CH2:9][NH:8][C:6](=[O:7])[C@H:4]([OH:5])[C:2]([CH3:1])([CH3:3])[CH2:26][O:27][P:28](=[O:29])([O:30][P:31](=[O:32])([O:33][CH2:34][C@@H:35]1[C@@H:36]([O:37][P:38]([O-:39])(=[O:40])[O-:41])[C@@H:42]([OH:43])[C@H:44]([N:46]2[C:47]3=[C:52]([C:51]([NH2:55])=[N:50][CH:49]=[N:48]3)/[N:53]=[CH:54]\2)[O:45]1)[O-:56])[O-:57]>>[CH3:1][C:2]([CH3:3])([C@@H:4]([OH:5])[C:6](=[O:7])[NH:8][CH2:9][CH2:10][C:11](=[O:12])[NH:13][CH2:14][CH2:15][S:16][C:17]([CH2:18][CH:19]1[NH+:20]([CH3:24])[CH2:21][CH2:22][CH2:23]1)=[O:25])[CH2:26][O:27][P:28](=[O:29])([O:30][P:31](=[O:32])([O:33][CH2:34][C@@H:35]1[C@@H:36]([O:37][P:38]([O-:39])(=[O:40])[O-:41])[C@@H:42]([OH:43])[C@H:44]([N:46]2[C:47]3=[C:52]([C:51]([NH2:55])=[N:50][CH:49]=[N:48]3)/[N:53]=[CH:54]\2)[O:45]1)[O-:56])[O-:57]
RXN-14427,PWY-7253,[CH2:2]([OH:3])[C@@H:12]1[C@@H:42]([OH:49])[C@H:43]([OH:44])[C@@H:47]([OH:48])[C@@H:45]([O:39][P:4]([O:7][P:8](=[O:9])([O-:11])[O:50][CH2:41][C@H:40]2[O:13][C@@H:14]([N:19]3[CH:20]=[CH:21][C:22](=[O:23])[NH:24][C:25]3=[O:26])[C@H:15]([OH:16])[C@@H:17]2[OH:18])([O-:6])=[O:5])[O:46]1.[CH:27]1=[CH:55][C:54]([OH:56])=[CH:53][CH:52]=[C:28]1[C:29]1=[O+:30][C:31]2=[C:36]([C:35]([O-:10])=[CH:34][C:33]([OH:51])=[CH:32]2)/[CH:37]=[CH:38]\1.[CH2:57](O)[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H]([O:58][P:59]([O:62][P:63](=[O:64])([O-:65])[O:66]C[C@H:67]2[O:68][C@@H:69]([N:74]3[CH:75]=[CH:76][C:77](=[O:78])[NH:79][C:80]3=[O:81])[C@H:70]([OH:71])[C@@H:72]2[OH:73])([O-:61])=[O:60])O1>>[H+:1].[CH2:2]([O:3][P:4](=[O:5])([O-:6])[O:7][P:8](=[O:9])([O-:10])[O-:11])[C@H:12]1[O:13][C@@H:14]([N:19]2[CH:20]=[CH:21][C:22](=[O:23])[NH:24][C:25]2=[O:26])[C@H:15]([OH:16])[C@@H:17]1[OH:18].[CH:27]1=[CH:55][C:54]([OH:56])=[CH:53][CH:52]=[C:28]1[C:29]1=[O+:30][C:31]2=[C:36]([C:35]([O:39][C@H:40]3[C@H:41]([OH:50])[C@@H:42]([OH:49])[C@H:43]([OH:44])[C@@H:45]([CH2:47][OH:48])[O:46]3)=[CH:34][C:33]([O-:51])=[CH:32]2)/[CH:37]=[CH:38]\1.[CH2:57]([O:58][P:59](=[O:60])([O-:61])[O:62][P:63](=[O:64])([O-:65])[O-:66])[C@H:67]1[O:68][C@@H:69]([N:74]2[CH:75]=[CH:76][C:77](=[O:78])[NH:79][C:80]2=[O:81])[C@H:70]([OH:71])[C@@H:72]1[OH:73].[H+:82]
2.5.1.67-RXN,PWY-6926,[CH3:10][C:11]([CH3:28])=[CH:15][CH2:16][O:17][P:18](=[O:19])([O-:20])[O:21][P:2](=[O:23])([O-:6])[O-:1]>>[O:1]=[P:2]([OH:3])([O:4][P:5]([O-:6])([O-:7])=[O:8])[O-:9].[CH3:10][C:11]([CH3:12])=[CH:13][C@@H:14]1[C@@H:15]([CH2:16][O:17][P:18](=[O:19])([O-:20])[O:21][P:22](=[O:23])([O-:24])[O-:25])[C@:26]1([CH3:27])[CH3:28]
RXN-8036,PWY-5176,[CH2:13]([C@H:14]1[O:23][C@@H:15]([O:10][C:9]2=[C:4](/[CH:3]=[CH:2]\[C:1](=[O:11])[O-:12])[CH:5]=[CH:6][CH:7]=[CH:8]2)[C@H:16]([OH:22])[C@@H:17]([OH:21])[C@@H:18]1[OH:19])[OH:24].[OH2:20]>>[C:1](/[CH:2]=[CH:3]\[C:4]1=[C:9]([OH:10])[CH:8]=[CH:7][CH:6]=[CH:5]1)(=[O:11])[O-:12].[CH2:13]([C@@H:14]1[C@@H:15]([OH:23])[C@H:16]([OH:22])[C@@H:17]([OH:21])[CH:18]([OH:20])[O:19]1)[OH:24]
RXN-2581,PWY-6040,[C:1]([O:2][C@H:3]1[C@H:4]([OH:5])[C@H:6]([OH:7])[CH:8]=[C:9]([C:11]([O-:12])=[O:13])[CH2:10]1)(=[O:14])/[CH:15]=[CH:16]/[C:17]1=[CH:23][CH:22]=[C:20]([OH:21])[CH:19]=[CH:18]1.[O:25]=[O:24]>>[C:1]([O:2][C@H:3]1[C@H:4]([OH:5])[C@H:6]([OH:7])[CH:8]=[C:9]([C:11]([O-:12])=[O:13])[CH2:10]1)(=[O:14])/[CH:15]=[CH:16]/[C:17]1=[CH:23][C:22]([OH:24])=[C:20]([OH:21])[CH:19]=[CH:18]1.[OH2:25]
RXN-20049,PWY-6540,[CH3:1]/[C:2]1=[CH:18]\[CH2:9][CH2:8]/[C:6]([CH3:7])=[CH:5]/[CH2:17][C@H:11]([C:12]([C:13]([O-:14])=[O:15])=[CH2:16])[CH2:4][CH2:3]1.[O:19]=[O:10]>>[CH3:1]/[C:2]1=[CH:18]\[CH2:17][C@H:11]([C:12]([C:13]([O-:14])=[O:15])=[CH2:16])[C@@H:9]([OH:10])[CH2:8]/[C:6]([CH3:7])=[CH:5]/[CH2:4][CH2:3]1.[OH2:19]
RXN-13841,PWY-7150,[CH3:53][S+:3]([CH2:4][C@@H:5]1[C@@H:6]([OH:7])[C@@H:8]([OH:9])[C@H:10]([N:11]2[C:12]3=[C:17]([C:16]([NH2:20])=[N:15][CH:14]=[N:13]3)/[N:18]=[CH:19]\2)[O:21]1)[CH2:2][CH2:22][C@@H:23]([C:24]([O-:25])=[O:26])[NH3+:27].[CH3:28][O:29][C:30]1=[CH:31][C:48]([OH:54])=[C:42]2[C:41](=[CH:75]1)[O:40][C:39]([C:58]1=[CH:34][CH:69]=[C:70]([O:32][CH3:33])[C:36]([OH:79])=[C:37]1[OH:38])=[C:45]([O:46][CH3:47])[C:43]2=[O:44]>>[H+:1].[CH2:2]([S:3][CH2:4][C@@H:5]1[C@@H:6]([OH:7])[C@@H:8]([OH:9])[C@H:10]([N:11]2[C:12]3=[C:17]([C:16]([NH2:20])=[N:15][CH:14]=[N:13]3)/[N:18]=[CH:19]\2)[O:21]1)[CH2:22][C@@H:23]([C:24]([O-:25])=[O:26])[NH3+:27].[CH3:28][O:29][C:30]1=[C:37]([OH:38])[C:36]([C:39]2=[C:45]([O:46][CH3:47])[C:43](=[O:44])[C:42]3=[C:48]([OH:54])[CH:49]=[C:50]([O:52][CH3:53])[CH:51]=[C:41]3[O:40]2)=[CH:35][CH:34]=[C:31]1[O:32][CH3:33].[CH2:55]([S:56][CH2:57][C@@H:58]1[C@@H:59]([OH:60])[C@@H:61]([OH:62])[C@H:63]([N:64]2[C:65]3=[C:70]([C:69]([NH2:73])=[N:68][CH:67]=[N:66]3)/[N:71]=[CH:72]\2)[O:74]1)[CH2:75][C@@H:76]([C:77]([O-:78])=[O:79])[NH3+:80].[H+:81]
RXN-9269,PWY-5868,[CH3:13][O:12][C:10]1=[CH:11][C:4](/[CH:3]=[CH:2]/[C:1]([O-:15])=[O:14])=[CH:8][CH:7]=[C:5]1[OH:6]>>[C:1](/[CH:2]=[CH:3]/[C:4]1=[CH:11][C:10]([O:12][CH3:13])=[C:8]([OH:9])[CH:7]=[C:5]1[OH:6])(=[O:14])[OH:15]
RXN-11420,PWY-2821,[CH:3]([CH2:4][C:5]1=[CH:10][CH:9]=[CH:8][CH:7]=[CH:6]1)=[N+:11]([OH:12])[O-:31].[CH2:1]([SH:2])[C@@H:13]([C:14]([NH:15][CH2:16][C:17]([O-:18])=[O:19])=[O:20])[NH:21][C:22](=[O:23])[CH2:24][CH2:25][C@H:26]([NH3+:27])[C:28]([O-:29])=[O:30]>>[CH2:1]([S:2]/[C:3]([CH2:4][C:5]1=[CH:10][CH:9]=[CH:8][CH:7]=[CH:6]1)=[N:11]/[OH:12])[C@@H:13]([C:14]([NH:15][CH2:16][C:17]([O-:18])=[O:19])=[O:20])[NH:21][C:22](=[O:23])[CH2:24][CH2:25][C@H:26]([NH3+:27])[C:28]([O-:29])=[O:30].[OH2:31]
RXN-19644,PWY-5290,[CH3:1][C@H:2]1[CH2:3][CH2:4][C@H:5]2[C@@H:6]1[CH:7]([OH:8])[O:9][CH:10]=[C:11]2[CH3:12].[O:14]=[O:13]>>[CH3:1][C@H:2]1[CH2:3][CH2:4][C@H:5]2[C@@H:6]1[C@H:7]([OH:8])[O:9][CH:10]=[C:11]2[CH2:12][OH:13].[OH2:14]
2.8.2.27-RXN,PWY-6199,[CH:29]1=[CH:30][C:31]([OH:26])=[C:32]([OH:33])[CH:34]=[C:35]1[C:36]1=[C:46]([O:47][S:48](=[O:49])(=[O:50])[O-:51])[C:44](=[O:45])[C:43]2=[C:42]([OH:52])[CH:41]=[C:40]([O-:53])[CH:39]=[C:38]2[O:37]1.[CH2:1]([C@@H:2]1[C@@H:3]([O:18][P:19](=[O:20])([O-:21])[O-:22])[C@@H:4]([OH:17])[C@H:5]([N:6]2[C:7]3=[C:12]([C:11]([NH2:15])=[N:10][CH:9]=[N:8]3)/[N:13]=[CH:14]\2)[O:16]1)[O:23][P:24]([O:54][S:55]([O-:58])(=[O:56])=[O:57])([O-:25])=[O:27]>>[CH2:1]([C@@H:2]1[C@@H:3]([O:18][P:19](=[O:20])([O-:21])[O-:22])[C@@H:4]([OH:17])[C@H:5]([N:6]2[C:7]3=[C:12]([C:11]([NH2:15])=[N:10][CH:9]=[N:8]3)/[N:13]=[CH:14]\2)[O:16]1)[O:23][P:24]([O-:25])([O-:26])=[O:27].[H+:28].[CH:29]1=[C:35](/[C:36]2=[C:46](\[O:47][S:48](=[O:49])(=[O:50])[O-:51])[C:44](=[O:45])[C:43]3=[C:38]([O:37]2)[CH:39]=[C:40]([O-:53])[CH:41]=[C:42]3[OH:52])[CH:34]=[C:32]([OH:33])[C:31]([O:54][S:55](=[O:56])(=[O:57])[O-:58])=[CH:30]1
RXN-8237,PWY-5305,[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6]([CH3:7])/[CH:8]=[CH:9]/[CH:10]=[O:12])=[CH:13]\[CH:14]=[CH:15]\[CH:16]=[C:17]([CH3:18])\[CH:19]=[CH:20]\[CH:21]=[C:22]([CH3:23])\[CH:24]=[CH:25]\[CH:26]=[O:28].[OH2:11].[CH:29]1=[N+:30]([C@@H:38]2[O:39][C@H:40]([CH2:41][O:42][P:43](=[O:44])([O-:45])[O:46][P:47](=[O:48])([O-:49])[O:50][CH2:51][C@H:52]3[O:53][C@@H:54]([N:59]4/[CH:60]=[N:61]\[C:62]5=[C:68]4[N:67]=[CH:66][N:65]=[C:63]5[NH2:64])[C@H:55]([OH:56])[C@@H:57]3[OH:58])[C@@H:69]([OH:70])[C@H:71]2[OH:72])[CH:31]=[CH:32][CH:33]=[C:34]1[C:35]([NH2:36])=[O:37]>>[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6]([CH3:7])/[CH:8]=[CH:9]/[C:10]([O-:11])=[O:12])=[CH:13]\[CH:14]=[CH:15]\[CH:16]=[C:17]([CH3:18])\[CH:19]=[CH:20]\[CH:21]=[C:22]([CH3:23])\[CH:24]=[CH:25]\[C:26]([O-:27])=[O:28].[CH:29]1=[C:34]([C:35]([NH2:36])=[O:37])[CH2:33][CH:32]=[CH:31][N:30]1[C@@H:38]1[O:39][C@H:40]([CH2:41][O:42][P:43](=[O:44])([O-:45])[O:46][P:47](=[O:48])([O-:49])[O:50][CH2:51][C@H:52]2[O:53][C@@H:54]([N:59]3/[CH:60]=[N:61]\[C:62]4=[C:68]3[N:67]=[CH:66][N:65]=[C:63]4[NH2:64])[C@H:55]([OH:56])[C@@H:57]2[OH:58])[C@@H:69]([OH:70])[C@H:71]1[OH:72].[H+:73]
RXN-11243,PWY-6432,[CH3:1][C:2]([CH3:3])([C@@H:4]([OH:5])[C:6](=[O:7])[NH:8][CH2:9][CH2:10][C:11](=[O:12])[NH:13][CH2:14][CH2:15][S:16][C:17](=[O:18])/[CH:19]=[CH:20]/[C:21]1=[CH:27][CH:26]=[C:24]([OH:25])[CH:23]=[CH:22]1)[CH2:30][O:31][P:32](=[O:33])([O:34][P:35](=[O:36])([O:37][CH2:38][C@@H:39]1[C@@H:40]([O:41][P:42]([O-:43])(=[O:28])[O-:45])[C@@H:46]([OH:47])[C@H:48]([N:50]2[C:51]3=[C:56]([C:55]([NH2:59])=[N:54][CH:53]=[N:52]3)/[N:57]=[CH:58]\2)[O:49]1)[O-:60])[O-:61]>>[CH3:1][C:2]([CH3:3])([C@@H:4]([OH:5])[C:6](=[O:7])[NH:8][CH2:9][CH2:10][C:11](=[O:12])[NH:13][CH2:14][CH2:15][S:16][C:17](=[O:18])/[CH:19]=[CH:20]/[C:21]1=[CH:27][CH:26]=[C:24]([OH:25])[C:23]([O:28][CH3:29])=[CH:22]1)[CH2:30][O:31][P:32](=[O:33])([O:34][P:35](=[O:36])([O:37][CH2:38][C@@H:39]1[C@@H:40]([O:41][P:42]([O-:43])(=[O:44])[O-:45])[C@@H:46]([OH:47])[C@H:48]([N:50]2[C:51]3=[C:56]([C:55]([NH2:59])=[N:54][CH:53]=[N:52]3)/[N:57]=[CH:58]\2)[O:49]1)[O-:60])[O-:61]
RXN-9244,PWY-5859,[CH3:15][O:14][C:12]1=[CH:13][C:7](/[CH:6]=[CH:5]/[CH2:4][OH:3])=[CH:8][CH:9]=[C:10]1[OH:11].[CH3:17][C:2](=[O:16])[S:32][CH2:31][CH2:30][NH:29][C:27](=[O:28])[CH2:26][CH2:25][NH:24][C:22](=[O:23])[C@H:20]([OH:21])[C:18]([CH3:1])([CH3:19])[CH2:33][O:34][P:35](=[O:36])([O:37][P:38](=[O:39])([O:40][CH2:41][C@@H:42]1[C@@H:46]([O:47][P:48]([O-:49])(=[O:50])[O-:51])[C@@H:45]([OH:52])[C@H:44]([N:53]2[C:54]3=[C:59]([C:58]([NH2:62])=[N:57][CH:56]=[N:55]3)/[N:60]=[CH:61]\2)[O:43]1)[O-:63])[O-:64]>>[CH3:1][C:2]([O:3][CH2:4]/[CH:5]=[CH:6]/[C:7]1=[CH:13][C:12]([O:14][CH3:15])=[C:10]([OH:11])[CH:9]=[CH:8]1)=[O:16].[CH3:17][C:18]([CH3:19])([C@@H:20]([OH:21])[C:22](=[O:23])[NH:24][CH2:25][CH2:26][C:27](=[O:28])[NH:29][CH2:30][CH2:31][SH:32])[CH2:33][O:34][P:35](=[O:36])([O:37][P:38](=[O:39])([O:40][CH2:41][C@H:42]1[O:43][C@@H:44]([N:53]2[C:54]3=[C:59]([C:58]([NH2:62])=[N:57][CH:56]=[N:55]3)/[N:60]=[CH:61]\2)[C@H:45]([OH:52])[C@@H:46]1[O:47][P:48]([O-:49])(=[O:50])[O-:51])[O-:63])[O-:64]
RXN-9795,PWY-6062,[CH2:6]([OH:5])[CH:7]1[O:8][CH:9]([O:10]/[C:11]2=[C:33](/[C:58]3=[CH:64][C:36]([O:41][CH3:42])=[C:61]([OH:62])[CH:60]=[CH:59]3)[O+:32]=[C:31]3[C:13](=[CH:12]2)[C:14]([O:15][CH:16]2[O:17][CH:18]([CH2:19][OH:20])[CH:21]([OH:22])[CH:23]([OH:24])[CH:25]2[OH:26])=[CH:27][C:28]([OH:29])=[CH:30]3)[CH:1]([OH:38])[CH:2]([OH:3])[CH:47]1[OH:48]>>[CH3:1][CH:2]1[O:3][CH:4]([O:5][CH2:6][CH:7]2[O:8][CH:9]([O:10]/[C:11]3=[C:33](/[C:34]4=[CH:40][CH:39]=[C:37]([OH:38])[C:36]([O:41][CH3:42])=[CH:35]4)[O+:32]=[C:31]4[C:13](=[CH:12]3)[C:14]([O:15][CH:16]3[O:17][CH:18]([CH2:19][OH:20])[CH:21]([OH:22])[CH:23]([OH:24])[CH:25]3[OH:26])=[CH:27][C:28]([OH:29])=[CH:30]4)[CH:43]([OH:44])[CH:45]([OH:46])[CH:47]2[OH:48])[CH:49]([OH:50])[CH:51]([OH:52])[CH:53]1[O:54][C:55](/[CH:56]=[CH:57]/[C:58]1=[CH:64][CH:63]=[C:61]([OH:62])[CH:60]=[CH:59]1)=[O:65]
RXN-8387,PWY-5365,[CH:1]1=[CH:6]/[C:5](=[O:7])[O:4][C:3]2=[C:2]/1[CH:17]=[C:18]1[CH:12]=[CH:11][O:10]/[C:9]1=[CH:8]/2.[CH:16]1=[CH:14][CH2:13][C:19]([C:20](=[O:21])[NH2:22])=[CH:23][N:24]1[C@@H:25]1[O:26][C@H:27]([CH2:32][O:33][P:34]([O:35][P:36]([O:37][CH2:38][C@@H:39]2[C@@H:40]([OH:59])[C@@H:41]([O:54][P:55]([O-:56])([O-:57])=[O:58])[C@H:42]([N:43]3[C:44]4=[C:49]([C:48]([NH2:52])=[N:47][CH:46]=[N:45]4)/[N:50]=[CH:51]\3)[O:53]2)([O-:60])=[O:61])(=[O:62])[O-:63])[C@@H:28]([OH:31])[C@H:29]1[OH:30].[O:64]=[O:15].[H+]>>[CH:1]1=[CH:6][C:5](=[O:7])[O:4]/[C:3]2=[CH:8]/[C:9]3=[C:13]([CH:12]=[CH:11][O:10]3)/[C:14]([OH:15])=[C:2]\12.[CH:16]1=[N+:24]([C@@H:25]2[O:26][C@H:27]([CH2:32][O:33][P:34]([O:35][P:36]([O:37][CH2:38][C@@H:39]3[C@@H:40]([OH:59])[C@@H:41]([O:54][P:55]([O-:56])([O-:57])=[O:58])[C@H:42]([N:43]4[C:44]5=[C:49]([C:48]([NH2:52])=[N:47][CH:46]=[N:45]5)/[N:50]=[CH:51]\4)[O:53]3)([O-:60])=[O:61])(=[O:62])[O-:63])[C@@H:28]([OH:31])[C@H:29]2[OH:30])[CH:23]=[C:19]([C:20](=[O:21])[NH2:22])[CH:18]=[CH:17]1.[OH2:64]
RXN-12350,PWY-6792,[CH3:15][C:16]([CH3:17])([C@@H:18]([OH:19])[C:20](=[O:21])[NH:22][CH2:23][CH2:24][C:25](=[O:26])[NH:27][CH2:28][CH2:29][S:30][C:8](=[O:14])/[CH:7]=[CH:6]/[C:3]1=[C:12]([OH:13])[CH:11]=[C:10]([OH:9])[C:5]([O:2][CH3:1])=[CH:4]1)[CH2:31][O:32][P:33](=[O:34])([O:35][P:36](=[O:37])([O:38][CH2:39][C@H:40]1[O:41][C@@H:42]([N:51]2[C:52]3=[C:57]([C:56]([NH2:60])=[N:55][CH:54]=[N:53]3)/[N:58]=[CH:59]\2)[C@H:43]([OH:50])[C@@H:44]1[O:45][P:46]([O-:47])(=[O:48])[O-:49])[O-:61])[O-:62]>>[CH3:1][O:2]/[C:3]1=[C:12]([OH:13])\[CH:11]=[C:10]2/[C:5](=[CH:4]1)[CH:6]=[CH:7][C:8](=[O:14])[O:9]2.[CH3:15][C:16]([CH3:17])([C@@H:18]([OH:19])[C:20](=[O:21])[NH:22][CH2:23][CH2:24][C:25](=[O:26])[NH:27][CH2:28][CH2:29][SH:30])[CH2:31][O:32][P:33](=[O:34])([O:35][P:36](=[O:37])([O:38][CH2:39][C@H:40]1[O:41][C@@H:42]([N:51]2[C:52]3=[C:57]([C:56]([NH2:60])=[N:55][CH:54]=[N:53]3)/[N:58]=[CH:59]\2)[C@H:43]([OH:50])[C@@H:44]1[O:45][P:46]([O-:47])(=[O:48])[O-:49])[O-:61])[O-:62]
RXN-7611,PWY-5045,[H+].C[C:21]([CH3:22])([C@@H:23]([OH:24])[C:25](=[O:26])[NH:27][CH2:28][CH2:29][C:30](=[O:31])[NH:32][CH2:33][CH2:34][S:35][C:7](=O)[CH2:8][CH2:9][C:10]1=[CH:15][CH:14]=[CH:13][CH:12]=[CH:11]1)[CH2:20]OP(=O)(OP(=O)(OC[C@@H]1[C@@H](OP([O-:16])(=O)[O-])[C@@H]([OH:17])[C@H](N2C3=C(C(N)=N[CH:18]=N3)/N=[CH:19]\2)O1)[O-])[O-].[CH3:6][C:5]([CH3:4])([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C:1](=[O:2])[O-:3])[CH2:36][O:37][P:38](=[O:39])([O:40][P:41](=[O:42])([O:43][CH2:44][C@@H:45]1[C@@H:49]([O:50][P:51]([O-:52])(=[O:53])[O-:54])[C@@H:48]([OH:55])[C@H:47]([N:56]2[C:57]3=[C:62]([C:61]([NH2:65])=[N:60][CH:59]=[N:58]3)/[N:63]=[CH:64]\2)[O:46]1)[O-:66])[O-:67]>>[C:1](=[O:2])=[O:3].[CH:4]1=[CH:19][CH:18]=[C:7]([CH2:8][CH2:9][C:10]2=[CH:15][C:14]([OH:16])=[CH:13][C:12]([OH:17])=[CH:11]2)[CH:6]=[CH:5]1.[CH3:20][C:21]([CH3:22])([C@@H:23]([OH:24])[C:25](=[O:26])[NH:27][CH2:28][CH2:29][C:30](=[O:31])[NH:32][CH2:33][CH2:34][SH:35])[CH2:36][O:37][P:38](=[O:39])([O:40][P:41](=[O:42])([O:43][CH2:44][C@H:45]1[O:46][C@@H:47]([N:56]2[C:57]3=[C:62]([C:61]([NH2:65])=[N:60][CH:59]=[N:58]3)/[N:63]=[CH:64]\2)[C@H:48]([OH:55])[C@@H:49]1[O:50][P:51]([O-:52])(=[O:53])[O-:54])[O-:66])[O-:67]
RXN-18206,PWYQT-4450,[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH:7]([CH:8]([OH:9])[C:10](=[O:11])[O-:12])[C:13](=[O:14])[O-:15].[CH:16]1=[N+:17]([C@@H:25]2[O:26][C@H:27]([CH2:28][O:29][P:30](=[O:31])([O-:32])[O:33][P:34](=[O:35])([O-:36])[O:37][CH2:38][C@H:39]3[O:40][C@@H:41]([N:46]4/[CH:47]=[N:48]\[C:49]5=[C:55]4[N:54]=[CH:53][N:52]=[C:50]5[NH2:51])[C@H:42]([OH:43])[C@@H:44]3[OH:45])[C@@H:56]([OH:57])[C@H:58]2[OH:59])[CH:18]=[CH:19][CH:20]=[C:21]1[C:22]([NH2:23])=[O:24]>>[CH3:1][S:2][CH2:3][CH2:4][CH2:5][CH2:6][CH:7]([C:8](=[O:9])[C:10](=[O:11])[O-:12])[C:13](=[O:14])[O-:15].[CH:16]1=[C:21]([C:22]([NH2:23])=[O:24])[CH2:20][CH:19]=[CH:18][N:17]1[C@@H:25]1[O:26][C@H:27]([CH2:28][O:29][P:30](=[O:31])([O-:32])[O:33][P:34](=[O:35])([O-:36])[O:37][CH2:38][C@H:39]2[O:40][C@@H:41]([N:46]3/[CH:47]=[N:48]\[C:49]4=[C:55]3[N:54]=[CH:53][N:52]=[C:50]4[NH2:51])[C@H:42]([OH:43])[C@@H:44]2[OH:45])[C@@H:56]([OH:57])[C@H:58]1[OH:59].[H+:60]
1.2.3.14-RXN,PWY-695,[CH3:2][C:3](/[CH:4]=[CH:5]/[C@:6]1([OH:16])[C:7]([CH3:8])([CH3:9])[CH2:10][C:11](=[O:12])[CH:13]=[C:14]1[CH3:15])=[CH:17]/[CH:18]=[O:19].[OH2:20].[O:22]=[O:21]>>[H+:1].[CH3:2][C:3](/[CH:4]=[CH:5]/[C@:6]1([OH:16])[C:7]([CH3:8])([CH3:9])[CH2:10][C:11](=[O:12])[CH:13]=[C:14]1[CH3:15])=[CH:17]/[C:18](=[O:19])[O-:20].[OH:21][OH:22]
RXN-7599,PWY-5037,[CH3:15][S+:17]([CH2:18][C@@H:19]1[C@@H:20]([OH:21])[C@@H:22]([OH:23])[C@H:24]([N:25]2[C:26]3=[C:31]([C:30]([NH2:34])=[N:29][CH:28]=[N:27]3)/[N:32]=[CH:33]\2)[O:35]1)[CH2:16][CH2:36][C@@H:37]([C:38]([O-:39])=[O:40])[NH3+:41].[CH3:2][N:3]1/[CH:13]=[N:7]\[C:5]2=[C:4]1[C:11](=[O:6])[NH:12][C:8](=[O:9])[N:10]2[CH3:14]>>[H+:1].[CH3:2][N:3]1[C:4]2=[C:11]([N:10]([CH3:14])[C:8](=[O:9])[N:7]([CH3:15])[C:5]2=[O:6])/[N:12]=[CH:13]\1.[CH2:16]([S:17][CH2:18][C@@H:19]1[C@@H:20]([OH:21])[C@@H:22]([OH:23])[C@H:24]([N:25]2[C:26]3=[C:31]([C:30]([NH2:34])=[N:29][CH:28]=[N:27]3)/[N:32]=[CH:33]\2)[O:35]1)[CH2:36][C@@H:37]([C:38]([O-:39])=[O:40])[NH3+:41]
