id,class,reactants>reagents>production
RXN-11686,PWY-6602,[CH:7]1=[CH:17][C:16]([OH:15])=[CH:13][CH:12]=[C:8]1[C:20](=[O:26])[CH2:2][C:1](=[O:31])[C:11]1=[C:24]([OH:25])[CH:23]=[C:21]([O-:22])[C:18]([C@H:19]2[C@H:4]([OH:29])[C@@H:3]([OH:30])[C@H:5]([OH:28])[C@@H:14]([CH2:6][OH:32])[O:27]2)=[C:10]1[OH:9]>>[CH2:1]([C@@H:2]1[C@@H:3]([OH:30])[C@H:4]([OH:29])[C@@H:5]([OH:28])[C@H:6](/[C:7]2=[C:24]([O-:25])/[CH:23]=[C:21](/[OH:22])[C:20]3=[C:8]2[O:9][C:10]([C:11]2=[CH:17][CH:16]=[C:14]([OH:15])[CH:13]=[CH:12]2)=[CH:18][C:19]3=[O:26])[O:27]1)[OH:31].[OH2:32]
RXN-13549,PWY-5808,[CH3:27][C:26]([CH3:28])=[CH:25][CH2:24][C:7]1=[C:22]([OH:23])[C:11]([C:12]([CH2:2][CH:3]([CH3:1])[CH3:4])=[O:21])=[C:19]([OH:20])[C:13]([CH2:14][CH:15]=[C:16]([CH3:17])[CH3:18])=[C:5]1[O-:6].[CH3:40][C:38]([CH3:39])=[CH:37][CH2:36][CH2:35]/[C:8]([CH3:34])=[CH:9]\[CH2:10][O:41][P:42]([O-:43])([O:44][P:45](=[O:48])([O-:46])[O-:47])=[O:49].[CH3:33][C:31]([CH3:32])=[CH:30][CH2:29]OP(=O)([O-])OP(=O)([O-])[O-].[H+]>>[CH3:1][CH2:2][CH:3]([CH3:4])[C:5](=[O:6])[C@@:7]12[C@:8]([CH3:34])([CH2:35][CH2:36][CH:37]=[C:38]([CH3:39])[CH3:40])[C@@H:9]([CH2:29][CH:30]=[C:31]([CH3:32])[CH3:33])[CH2:10][C@:11]([CH2:24][CH:25]=[C:26]([CH3:27])[CH3:28])([C:12](=[O:21])/[C:13]([CH2:14][CH:15]=[C:16]([CH3:17])[CH3:18])=[C:19]/1[OH:20])[C:22]2=[O:23].[O:41]=[P:42]([OH:43])([O:44][P:45]([O-:46])([O-:47])=[O:48])[O-:49]
RXN-4541,PWY-2781,[CH3:11]/[C:12]([CH2:13][OH:14])=[CH:15]/[CH2:16][NH:17]/[C:18]1=[N:26]/[CH:25]=[N:24]\[C:23]2=[C:19]1[N:20]=[CH:21][N:22]2[C@H:1]1[C@H:3]([OH:8])[C@H:4]([OH:10])[C@@H:5]([CH2:6][OH:7])[O:9]1.[OH2:2]>>[CH2:1]([OH:2])[C@@H:3]1[C@@H:4]([OH:10])[C@@H:5]([OH:9])[CH:6]([OH:7])[O:8]1.[CH3:11]/[C:12]([CH2:13][OH:14])=[CH:15]/[CH2:16][NH:17]/[C:18]1=[N:26]\[CH:25]=[N:24]/[C:23]2=[C:19]1[N:20]=[CH:21][NH:22]2
RXN1F-462,PWY-5390,[CH:26]1=[C:32](/[C:33]2=[C:43](\[O-:10])[C:41](=[O:42])[C:40]3=[C:35]([O:34]2)[CH:36]=[C:37]([OH:57])[CH:38]=[C:39]3[OH:56])[CH:31]=[C:29]([OH:30])[C:28]([OH:58])=[CH:27]1.[CH2:1]([OH:2])[C@@H:45]1[C@@H:54]([OH:55])[C@H:52]([OH:53])[C@@H:50]([OH:51])[C@@H:47]([O:44][P:3]([O:6][P:7](=[O:8])([O-:9])[O:49][CH2:48][C@H:11]2[O:12][C@@H:13]([N:18]3[CH:19]=[CH:20][C:21](=[O:22])[NH:23][C:24]3=[O:25])[C@H:14]([OH:15])[C@@H:16]2[OH:17])([O-:5])=[O:4])[O:46]1>>[CH2:1]([O:2][P:3](=[O:4])([O-:5])[O:6][P:7](=[O:8])([O-:9])[O-:10])[C@H:11]1[O:12][C@@H:13]([N:18]2[CH:19]=[CH:20][C:21](=[O:22])[NH:23][C:24]2=[O:25])[C@H:14]([OH:15])[C@@H:16]1[OH:17].[CH:26]1=[C:32](/[C:33]2=[C:43](\[O:44][C@@H:45]3[O:46][C@H:47]([CH2:48][OH:49])[C@@H:50]([OH:51])[C@H:52]([OH:53])[C@H:54]3[OH:55])[C:41](=[O:42])[C:40]3=[C:35]([O:34]2)[CH:36]=[C:37]([O-:57])[CH:38]=[C:39]3[OH:56])[CH:31]=[C:29]([OH:30])[C:28]([OH:58])=[CH:27]1.[H+:59]
RXN-15531,PWY-7497,[CH3:1]/[C:2]1=[CH:17]\[CH2:16][CH2:15]/[C:13]([CH3:14])=[CH:11]/[C@@H:10]2[C@@H:5]([CH2:4][CH2:3]1)[C:6](=[CH2:18])[C:7](=[O:8])[O:9]2.[O:12]=[O:19]>>[CH3:1]/[C:2]1=[CH:17]\[CH2:16][CH2:15][C@:13]2([CH3:14])[C@@H:11]([C@@H:10]3[C@@H:5]([CH2:4][CH2:3]1)[C:6](=[CH2:18])[C:7](=[O:8])[O:9]3)[O:12]2.[OH2:19]
RXN-9367,PWY-5290,[CH3:1]/[C:2]([CH2:3][CH2:4]/[CH:5]=[C:6](\[CH3:7])[CH2:8][OH:9])=[CH:10]\[CH2:11][OH:12].[CH:13]1=[N+:14]([C@@H:15]2[O:16][C@H:17]([CH2:22][O:23][P:24]([O:25][P:26]([O:27][CH2:28][C@@H:29]3[C@@H:30]([OH:49])[C@@H:31]([O:44][P:45]([O-:46])([O-:47])=[O:48])[C@H:32]([N:33]4[C:34]5=[C:39]([C:38]([NH2:42])=[N:37][CH:36]=[N:35]5)/[N:40]=[CH:41]\4)[O:43]3)([O-:50])=[O:51])(=[O:52])[O-:53])[C@@H:18]([OH:21])[C@H:19]2[OH:20])[CH:54]=[C:55]([C:58](=[O:59])[NH2:60])[CH:56]=[CH:57]1>>[CH3:1]/[C:2]([CH2:3][CH2:4]/[CH:5]=[C:6](\[CH3:7])[CH2:8][OH:9])=[CH:10]\[CH:11]=[O:12].[CH:13]1=[CH:57][CH2:56][C:55]([C:58](=[O:59])[NH2:60])=[CH:54][N:14]1[C@@H:15]1[O:16][C@H:17]([CH2:22][O:23][P:24]([O:25][P:26]([O:27][CH2:28][C@@H:29]2[C@@H:30]([OH:49])[C@@H:31]([O:44][P:45]([O-:46])([O-:47])=[O:48])[C@H:32]([N:33]3[C:34]4=[C:39]([C:38]([NH2:42])=[N:37][CH:36]=[N:35]4)/[N:40]=[CH:41]\3)[O:43]2)([O-:50])=[O:51])(=[O:52])[O-:53])[C@@H:18]([OH:21])[C@H:19]1[OH:20].[H+:61]
RXN-8517,PWY-5412,[CH3:1][CH:2]([C:3]1=[CH:12][CH2:11][C@H:10]2[C:5](=[CH:4]1)[CH2:6][CH2:7][CH:8]1[C@:9]2([CH3:21])[CH2:13][CH2:14][CH2:15][C@:16]1([CH2:17][OH:18])[CH3:20])[CH3:22].[O:19]=[O:23]>>[CH3:1][CH:2]([C:3]1=[CH:12][CH2:11][C@H:10]2[C:5](=[CH:4]1)[CH2:6][CH2:7][CH:8]1[C@:9]2([CH3:21])[CH2:13][CH2:14][CH2:15][C@:16]1([CH:17]([OH:18])[OH:19])[CH3:20])[CH3:22].[OH2:23]
RXN0-6274,PWY-2781,CC(C)=CC[O:3][P:2](=[O:1])([O-:9])[O:4][P:5](=[O:7])([O-:6])[O-:8]>>[O:1]=[P:2]([OH:3])([O:4][P:5]([O-:6])([O-:7])=[O:8])[O-:9]
RXN-5021,PWY-6010,[CH2:48]([OH:49])[C@@H:47]1[C@@H:50]([OH:51])[C@H:52]([OH:53])[C@@H:54]([OH:55])[C@@H:45]([O:44][P:3]([O:6][P:7](=[O:8])([O-:9])[O:10][CH2:1][C@H:11]2[O:12][C@@H:13]([N:18]3[CH:19]=[CH:20][C:21](=[O:22])[NH:23][C:24]3=[O:25])[C@H:14]([OH:15])[C@@H:16]2[OH:17])([O-:2])=[O:4])[O:46]1.[CH:26]1=[C:31](/[C:32]2=[CH:42]/[C:40](=[O:41])[C:39]3=[C:34]([O:33]2)[CH:35]=[C:36]([O-:5])[CH:37]=[C:38]3[OH:43])[CH:30]=[CH:29][C:28]([OH:56])=[CH:27]1>>[CH2:1]([O:2][P:3](=[O:4])([O-:5])[O:6][P:7](=[O:8])([O-:9])[O-:10])[C@H:11]1[O:12][C@@H:13]([N:18]2[CH:19]=[CH:20][C:21](=[O:22])[NH:23][C:24]2=[O:25])[C@H:14]([OH:15])[C@@H:16]1[OH:17].[CH:26]1=[C:31](/[C:32]2=[CH:42]/[C:40](=[O:41])[C:39]3=[C:34]([O:33]2)[CH:35]=[C:36]([O:44][C@@H:45]2[O:46][C@H:47]([CH2:48][OH:49])[C@@H:50]([OH:51])[C@H:52]([OH:53])[C@H:54]2[OH:55])[CH:37]=[C:38]3[OH:43])[CH:30]=[CH:29][C:28]([OH:56])=[CH:27]1
RXN-7781,PWY-4502,[CH:11]1=[CH:17][C:18]([OH:25])=[CH:12][CH:9]=[C:10]1/[C:6]1=[CH:13]\[O:15][C:14]2=[C:19]([C:7]1=[O:8])[C:20]([OH:21])=[CH:22][C:23]([O-:24])=[CH:16]2.[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][O:28][P:27](=[O:26])([O-:34])[O:29][P:30](=[O:33])([O-:31])[O-:32]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5]/[C:6]1=[C:23]([O-:24])/[CH:22]=[C:20](/[OH:21])[C:19]2=[C:7]1[O:8][CH:9]=[C:10]([C:11]1=[CH:17][CH:16]=[C:14]([OH:15])[CH:13]=[CH:12]1)[C:18]2=[O:25].[O:26]=[P:27]([OH:28])([O:29][P:30]([O-:31])([O-:32])=[O:33])[O-:34]
