Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,5124.857,1025.5792,415.3177,726.777,2957.183
1,1600400,5205.8229,1040.3736,416.9723,726.4442,3022.0328
2,1600600,5255.2528,1050.4194,421.9999,716.2589,3066.5745
3,1600800,5155.768,1028.6422,407.4894,724.6163,2995.0201
3,1601000,5151.4095,1028.3395,414.128,713.7461,2995.196
4,1601200,5024.8645,1012.6099,390.6687,673.5296,2948.0563
5,1601400,5115.9954,1018.5704,411.0631,700.1861,2986.1759
6,1601600,5110.0236,1026.6049,395.716,676.636,3011.0666
7,1601800,5050.7723,1013.4356,393.6155,679.7381,2963.9832
7,1602000,5069.888,1016.1788,397.2531,671.1646,2985.2915
8,1602200,5064.4376,1019.9109,386.5066,651.9558,3006.0642
9,1602400,5144.0644,1027.5099,403.1685,683.3635,3030.0225
10,1602600,4985.3044,1006.4468,373.7092,632.5256,2972.6228
11,1602800,5094.5861,1020.765,391.1388,654.6708,3028.0114
11,1603000,5000.3978,1008.4082,375.3299,639.4187,2977.241
12,1603200,5108.4025,1015.0468,399.43,655.5337,3038.392
13,1603400,4918.0031,991.8092,367.2556,618.6493,2940.289
14,1603600,5047.393,1012.4953,385.2824,633.7483,3015.8669
15,1603800,4980.6649,1008.7201,371.7475,622.0905,2978.1068
15,1604000,4985.2897,1002.5387,377.6047,624.9694,2980.1769
16,1604200,4964.3903,998.1437,370.633,614.7744,2980.8391
17,1604400,4979.4105,1003.3909,362.9118,609.3075,3003.8003
18,1604600,4965.674,994.7503,369.1007,606.1777,2995.6453
19,1604800,4952.8998,1001.9453,369.8911,606.3076,2974.7558
19,1605000,4962.771,1002.4803,365.495,599.3694,2995.4263
20,1605200,4882.8392,983.2844,365.7068,593.9655,2939.8825
21,1605400,4969.3284,997.8967,371.6551,603.0086,2996.768
22,1605600,4962.1837,1000.1311,358.9108,593.9327,3009.2091
23,1605800,4928.6126,997.7473,361.4311,587.3747,2982.0595
23,1606000,4967.5385,992.8108,367.2573,594.5317,3012.9387
24,1606200,4926.117,995.3933,363.3481,588.6755,2978.7001
25,1606400,4901.9644,994.7067,348.2723,572.4481,2986.5373
26,1606600,4949.2333,999.5437,362.9124,583.641,3003.1361
