Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,4678.7583,926.0199,294.9741,469.6176,2988.1467
1,1600400,4402.9992,858.7929,258.9548,417.2801,2867.9714
2,1600600,4384.0982,859.0616,242.5745,396.4439,2886.0182
3,1600800,4316.9361,834.0422,237.5538,380.5599,2864.7803
3,1601000,4313.2673,839.9419,231.3695,371.8765,2870.0795
4,1601200,4289.3762,830.5808,227.2706,366.7875,2864.7373
5,1601400,4304.6518,836.0351,223.0523,361.9735,2883.591
6,1601600,4204.2515,815.9947,213.5345,346.5859,2828.1364
7,1601800,4201.6279,815.2347,214.164,347.1706,2825.0586
7,1602000,4243.7815,823.2512,211.942,339.21,2869.3783
8,1602200,4166.0232,812.7355,202.1682,325.6781,2825.4413
9,1602400,4150.1132,802.505,203.7517,326.9398,2816.9167
10,1602600,4185.2286,814.4329,206.6432,334.6062,2829.5463
11,1602800,4168.9359,810.3183,199.48,321.4953,2837.6424
11,1603000,4154.3356,807.2373,199.1532,320.9602,2826.9849
12,1603200,4102.4464,798.6836,192.3652,307.1081,2804.2895
13,1603400,4181.1444,815.108,195.0081,308.8782,2862.1501
14,1603600,4073.1672,798.89,190.3294,309.6267,2774.3211
15,1603800,4038.3107,785.948,181.4831,290.2301,2780.6496
15,1604000,4102.5452,799.2776,190.3037,303.5441,2809.4199
16,1604200,4067.1111,796.3601,182.6329,289.3743,2798.7438
17,1604400,4077.3325,799.8916,184.0037,294.1606,2799.2765
18,1604600,4100.973,799.8642,182.224,294.6395,2824.2453
19,1604800,4166.4267,812.4373,187.3412,298.5795,2868.0687
19,1605000,4080.5998,798.9049,178.6818,283.7623,2819.2508
20,1605200,4067.3208,792.7335,176.6389,277.8466,2820.1018
21,1605400,4061.8915,795.5214,177.8012,283.4737,2805.0952
22,1605600,4079.5287,799.1117,179.1166,279.6517,2821.6487
23,1605800,3978.0733,780.3525,171.58,274.9873,2751.1536
23,1606000,4062.1455,797.4983,173.6653,273.2605,2817.7214
24,1606200,4090.8843,803.1204,175.0309,277.2258,2835.5071
25,1606400,4009.9671,785.6239,171.7292,268.1526,2784.4614
26,1606600,4024.238,793.1498,168.5009,264.7499,2797.8375
27,1606800,4082.1259,797.8095,172.1544,274.7037,2837.4583
27,1607000,3983.5853,784.1483,166.9694,262.4051,2770.0624
28,1607200,4029.1108,789.4962,168.0742,265.6861,2805.8543
29,1607400,4040.7922,791.3838,166.0974,258.1751,2825.136
30,1607600,4038.5517,795.1215,168.7428,262.8347,2811.8526
31,1607800,3978.0903,783.1015,160.3012,254.2482,2780.4395
31,1608000,4019.057,791.5527,163.3186,256.6289,2807.5567
32,1608200,4024.4793,791.6133,162.0032,251.8427,2819.0202
33,1608400,4009.2847,791.3005,164.7776,256.565,2796.6417
34,1608600,4003.3557,784.1257,159.7132,248.0205,2811.4963
35,1608800,3929.5956,778.5112,156.818,243.179,2751.0874
35,1609000,3941.4811,778.7256,153.4796,236.8471,2772.4288
36,1609200,4026.4364,792.3187,163.8257,254.2375,2816.0545
37,1609400,3967.902,786.5171,155.8766,243.0556,2782.4527
38,1609600,3998.255,787.8684,156.5384,248.8009,2805.0473
38,1609800,3973.342,787.15,156.9055,241.5553,2787.7311
