Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,5241.7466,1050.3229,428.01,746.9559,3016.4576
1,1600400,5186.6192,1034.2289,410.0888,722.4762,3019.8253
2,1600600,5208.7032,1038.054,423.8472,720.0852,3026.7168
3,1600800,5092.7777,1027.5014,400.5483,702.8529,2961.8751
3,1601000,5148.8256,1029.3924,407.564,704.0456,3007.8235
4,1601200,5029.7527,1007.9301,391.9979,673.5637,2956.2609
5,1601400,5141.3783,1030.8023,404.0902,690.9695,3015.5163
6,1601600,5042.4155,1007.7505,401.4833,682.738,2950.4438
7,1601800,5123.4017,1031.6021,389.2538,664.814,3037.7318
7,1602000,5102.7255,1021.417,402.9787,674.5495,3003.7803
8,1602200,5055.1315,1016.3853,391.9238,651.4406,2995.3818
9,1602400,5095.2425,1029.5763,392.3095,663.8468,3009.5098
10,1602600,5021.6689,1005.6297,380.2064,647.3258,2988.507
11,1602800,4978.4136,1000.5724,375.1014,629.4925,2973.2472
11,1603000,5078.1268,1023.6037,391.6722,648.892,3013.9589
12,1603200,5157.1461,1038.8386,382.9153,651.8745,3083.5176
13,1603400,5003.8405,1004.1883,381.387,626.2092,2992.0559
14,1603600,4943.2438,993.9757,380.0471,631.1425,2938.0785
15,1603800,4991.6097,1004.7632,375.6547,633.0,2978.1918
15,1604000,5063.0652,1019.7857,372.6063,625.5574,3045.1158
16,1604200,4999.9696,1008.4257,378.9209,615.6177,2997.0052
17,1604400,4946.9998,991.8068,371.5414,606.0628,2977.5887
18,1604600,4993.0469,1004.4819,374.2267,616.8853,2997.4529
19,1604800,4971.949,1003.3793,366.2531,613.1698,2989.1468
19,1605000,5002.0825,1008.2003,369.9333,603.7226,3020.2263
20,1605200,5006.3427,1010.7575,363.1318,596.7563,3035.6971
21,1605400,4969.8606,998.275,374.601,604.0525,2992.9321
22,1605600,4990.8938,1006.1514,369.3978,600.2701,3015.0745
23,1605800,4974.826,1001.7124,366.1882,596.0825,3010.8428
23,1606000,4974.5392,1003.4953,366.2264,592.6479,3012.1696
24,1606200,4897.3988,987.9564,354.6899,584.4729,2970.2796
25,1606400,4978.1254,1000.2005,365.3956,578.0576,3034.4717
26,1606600,4916.0097,991.9635,358.2384,593.9011,2971.9068
27,1606800,4815.8811,975.8247,346.6245,558.7431,2934.689
27,1607000,4942.7632,994.1365,359.6726,579.1706,3009.7835
28,1607200,4823.8728,976.4288,347.4822,561.2893,2938.6725
29,1607400,4959.0554,996.4611,360.8184,587.9279,3013.848
30,1607600,4899.3555,991.0056,351.955,568.3416,2988.0533
31,1607800,4803.3456,974.7972,341.8915,559.6381,2927.0188
31,1608000,4841.967,976.4576,349.1,554.1305,2962.2789
32,1608200,4871.4899,984.8824,339.9323,557.1863,2989.4889
33,1608400,4874.8339,983.5911,351.6954,560.4871,2979.0602
34,1608600,4822.366,978.5256,346.9357,557.6848,2939.22
35,1608800,4934.7976,989.9368,350.9289,563.7399,3030.192
35,1609000,4812.9266,974.7107,337.5257,545.4409,2955.2493
36,1609200,4908.8096,988.6065,353.6911,556.9993,3009.5127
37,1609400,4880.9487,989.7005,340.6018,554.216,2996.4303
38,1609600,4842.1368,976.4883,346.762,545.8912,2972.9953
38,1609800,4907.0636,992.5409,351.3715,560.2982,3002.853
39,1610000,4836.9028,974.4797,338.7914,543.141,2980.4907
40,1610200,4857.7425,988.0703,337.5175,544.6114,2987.5433
41,1610400,4837.978,978.8807,344.7346,542.3195,2972.0433
42,1610600,4878.0089,983.2519,336.0156,537.6521,3021.0894
42,1610800,4806.4979,972.5593,340.5417,540.542,2952.8549
43,1611000,4894.4838,990.4215,341.9163,544.1009,3018.045
44,1611200,4826.7896,972.1546,341.5729,549.9178,2963.1444
45,1611400,4849.8509,987.2341,328.4039,531.4023,3002.8105
46,1611600,4813.8417,968.7751,334.7633,533.8468,2976.4565
46,1611800,4787.2892,966.2694,333.1732,529.2762,2958.5705
47,1612000,4817.2908,978.0832,332.2787,534.7027,2972.2261
48,1612200,4827.9054,978.7961,331.6573,526.0874,2991.3647
49,1612400,4867.7646,978.0387,345.9041,551.6539,2992.1679
50,1612600,4790.5323,976.4579,328.8375,520.9639,2964.2729
50,1612800,4852.3766,981.954,334.5672,532.4522,3003.4033
51,1613000,4798.7944,971.3869,324.1351,524.8403,2978.4321
52,1613200,4826.7123,975.4091,337.5284,530.4805,2983.2943
53,1613400,4817.471,974.6274,330.4107,526.9574,2985.4754
54,1613600,4717.6122,955.732,322.5447,506.9062,2932.4294
54,1613800,4843.3604,978.0879,333.2075,527.5468,3004.5181
55,1614000,4842.9568,979.0326,324.1961,522.6259,3017.1021
56,1614200,4839.4526,974.7334,338.6646,529.3577,2996.6969
57,1614400,4740.6812,960.1393,327.1078,516.3535,2937.0807
58,1614600,4868.1378,983.3501,325.6057,523.2738,3035.9082
58,1614800,4865.0483,986.6843,334.5827,529.3881,3014.3931
59,1615000,4776.0442,964.9259,327.5668,509.8248,2973.7267
60,1615200,4762.6682,961.8169,323.0974,519.6258,2958.128
