Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,200,6418.3894,1971.9452,342.5673,540.3663,3563.5107
1,400,5840.4932,1632.4832,303.5809,494.467,3409.9621
2,600,5742.9701,1499.4589,302.5495,490.1554,3450.8063
3,800,5480.6472,1370.1623,282.8119,463.1255,3364.5474
3,1000,5377.1092,1291.3272,278.4787,460.2515,3347.0518
4,1200,5272.6587,1231.9686,270.7893,443.8905,3326.0102
5,1400,5163.4268,1189.0207,270.4381,439.9489,3264.0191
6,1600,5104.9977,1152.665,268.3902,435.1413,3248.8012
7,1800,5103.0014,1144.5374,263.3631,424.9821,3270.1189
7,2000,5054.5309,1119.0754,260.6063,423.8767,3250.9726
8,2200,5026.0014,1101.4529,251.3441,414.6608,3258.5435
9,2400,4969.6458,1074.3131,255.8113,421.4486,3218.0726
10,2600,4973.9079,1072.0879,253.2532,405.7013,3242.8654
11,2800,4912.0933,1048.9204,251.4357,411.1439,3200.5933
11,3000,4925.3227,1048.1465,244.699,402.9944,3229.4828
12,3200,4850.1002,1022.1976,242.0535,392.1522,3193.6969
13,3400,4902.4637,1030.4579,247.081,406.7697,3218.1551
14,3600,4805.7278,1003.4846,236.7313,386.6044,3178.9075
15,3800,4762.6724,986.9418,232.9649,389.7359,3153.0298
15,4000,4768.9985,986.7372,233.5759,382.5635,3166.1218
16,4200,4801.2306,988.2578,233.4674,386.2799,3193.2255
17,4400,4766.5685,984.2923,233.4591,381.1051,3167.712
18,4600,4701.099,958.1209,234.9519,383.707,3124.3192
19,4800,4692.3195,960.3704,224.8263,374.4191,3132.7036
19,5000,4707.3625,953.6316,222.8892,372.0476,3158.7941
20,5200,4652.6306,944.045,223.5029,368.7706,3116.3121
21,5400,4691.6452,950.0477,223.0226,365.3848,3153.19
22,5600,4613.4668,923.0729,220.6149,362.7736,3107.0055
23,5800,4670.9219,940.3771,226.4722,371.9774,3132.0952
23,6000,4672.6249,931.4033,218.5253,361.9728,3160.7235
24,6200,4533.2862,909.851,215.236,350.6473,3057.5519
25,6400,4569.8208,917.634,211.0379,350.3959,3090.753
26,6600,4545.7332,899.6451,215.7449,355.9517,3074.3914
27,6800,4588.4097,911.9164,208.3957,348.5494,3119.5482
27,7000,4587.6502,908.9143,211.378,352.0891,3115.2688
28,7200,4589.9193,909.3058,214.6137,351.9201,3114.0798
29,7400,4532.3925,890.7107,209.1219,345.9012,3086.6587
30,7600,4548.7933,902.6675,205.6755,338.8992,3101.5511
31,7800,4531.2986,893.2888,206.8728,345.6514,3085.4857
31,8000,4481.8114,881.039,205.5768,337.1827,3058.0129
32,8200,4512.2471,889.6703,199.5852,329.6769,3093.3146
33,8400,4491.7319,880.5861,201.9143,335.0155,3074.216
34,8600,4525.9893,888.5473,206.6882,342.8324,3087.9214
35,8800,4529.62,886.1372,205.4353,339.607,3098.4406
35,9000,4472.5595,872.5106,199.7239,330.0982,3070.2267
36,9200,4447.9881,863.294,200.0075,326.3026,3058.384
37,9400,4365.5755,860.0784,188.8722,309.9326,3006.6923
38,9600,4458.6895,866.0006,199.5785,331.622,3061.4885
39,9800,4452.2048,864.4299,194.4914,323.5195,3069.7639
39,10000,4426.49,859.8331,193.5187,316.15,3056.9883
40,10200,4379.9272,851.8424,195.1375,317.2952,3015.6521
41,10400,4435.3288,860.4892,189.9492,320.4863,3064.404
42,10600,4382.3944,847.1725,187.2648,307.3177,3040.6395
43,10800,4382.3298,849.2166,193.9731,317.5606,3021.5795
43,11000,4367.8416,845.0713,184.7858,309.0147,3028.9698
44,11200,4379.3914,842.783,190.8856,311.4689,3034.2539
45,11400,4360.9486,846.0503,184.0919,302.0065,3028.8
46,11600,4360.2766,841.107,188.7835,311.5003,3018.8858
47,11800,4312.283,829.1842,184.669,307.3363,2991.0936
47,12000,4432.8883,857.2118,187.3277,305.7024,3082.6464
48,12200,4301.735,823.8256,182.2026,299.8212,2995.8856
49,12400,4327.7395,830.7123,186.8336,308.0425,3002.151
50,12600,4363.5701,838.0103,180.5887,293.147,3051.8242
51,12800,4319.4511,826.5751,184.1139,304.5865,3004.1756
51,13000,4335.9222,831.4576,181.77,297.4865,3025.2082
52,13200,4270.678,817.7849,180.9402,294.7313,2977.2216
53,13400,4414.862,840.3981,178.6667,294.971,3100.8261
54,13600,4249.0941,818.7188,177.9788,286.4393,2965.9572
55,13800,4362.1562,833.6083,179.8335,296.9046,3051.8097
55,14000,4238.2925,810.0323,174.8293,288.3408,2965.0902
