Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,200,6510.9928,2054.5336,348.5624,539.8109,3568.0859
1,400,6122.6662,1762.1151,322.3517,522.3351,3515.8643
2,600,5993.6265,1650.9429,313.7688,509.2727,3519.6422
3,800,5667.6725,1485.6226,301.5697,484.3591,3396.1211
4,1000,5602.2125,1411.3783,295.191,482.5706,3413.0726
4,1200,5304.1501,1301.0918,279.3829,455.4326,3268.2429
5,1400,5361.7192,1286.8461,277.4091,454.9163,3342.5477
6,1600,5395.2593,1264.9935,281.3958,455.4655,3393.4044
7,1800,5187.2129,1202.4623,273.0212,440.6433,3271.086
7,2000,5142.6452,1177.1158,267.7134,433.3826,3264.4334
8,2200,5103.0744,1158.8856,260.6158,427.5447,3256.0283
9,2400,4952.8541,1102.3238,260.2798,417.6304,3172.6202
10,2600,5001.956,1123.7732,253.2854,415.4304,3209.467
11,2800,5027.5097,1113.2934,254.7565,413.6043,3245.8555
11,3000,4941.7645,1084.4495,254.6541,411.4771,3191.1839
12,3200,4955.4398,1084.69,249.9845,407.4254,3213.3399
13,3400,4930.9563,1071.598,252.5024,414.9563,3191.8996
14,3600,4868.0515,1053.0881,239.319,388.0946,3187.5498
15,3800,4926.7521,1050.6707,245.9354,404.886,3225.26
15,4000,4840.4766,1032.8817,243.8998,394.7239,3168.9713
16,4200,4961.0116,1056.662,241.4668,401.5917,3261.2911
17,4400,4844.0384,1022.4591,242.4649,394.736,3184.3784
18,4600,4780.333,1008.1707,234.5794,386.2306,3151.3523
19,4800,4790.2955,1002.5762,233.1134,382.1484,3172.4574
19,5000,4765.0743,999.5178,231.8184,377.9752,3155.7629
20,5200,4704.6218,976.7391,229.963,376.0414,3121.8782
21,5400,4772.779,994.3565,228.5833,377.2479,3172.5914
22,5600,4711.7947,971.2129,232.0839,379.2739,3129.224
23,5800,4719.9185,977.204,221.4175,367.8281,3153.4689
23,6000,4700.349,969.4029,229.4923,372.0274,3129.4264
24,6200,4644.5941,957.6758,220.1325,367.0418,3099.744
25,6400,4656.5748,946.7087,221.8576,358.583,3129.4256
26,6600,4674.6554,958.1935,220.2138,364.409,3131.839
27,6800,4687.0592,950.5314,223.6718,369.0824,3143.7737
27,7000,4649.3396,948.4878,216.6421,354.5318,3129.6779
28,7200,4654.9453,951.1619,218.8044,361.2171,3123.7619
29,7400,4571.5344,924.9336,211.0174,347.3288,3088.2546
30,7600,4637.2407,934.6592,217.8635,352.8694,3131.8485
31,7800,4562.527,921.3926,211.5095,346.3072,3083.3176
31,8000,4556.8175,923.7711,213.7251,355.6445,3063.6767
32,8200,4674.2236,931.4844,216.3562,352.2348,3174.1482
33,8400,4542.3405,917.8598,208.5905,339.3642,3076.526
34,8600,4523.1016,904.8675,205.3203,335.6146,3077.2992
35,8800,4616.2133,925.6646,209.5512,347.5603,3133.4371
35,9000,4529.2397,904.1789,205.6524,336.8545,3082.554
36,9200,4444.7087,890.7725,200.2238,331.5749,3022.1375
37,9400,4568.0021,911.3319,206.5986,336.1618,3113.9098
38,9600,4550.5905,903.4007,207.1982,334.597,3105.3946
