Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,4903.9523,989.0609,347.7766,566.7892,3000.3256
1,1600400,4766.6771,953.0211,318.6166,501.4181,2993.6213
2,1600600,4576.5437,914.9342,289.6701,456.6035,2915.3359
3,1600800,4601.7649,919.6904,286.3993,454.7192,2940.9561
3,1601000,4544.026,897.6668,278.584,446.3375,2921.4377
4,1601200,4576.5104,900.1884,281.0655,444.5578,2950.6988
5,1601400,4460.4939,878.614,265.5506,432.4622,2883.8671
6,1601600,4556.1999,899.2339,273.7329,426.9976,2956.2355
7,1601800,4497.885,879.8177,268.8706,434.3366,2914.8601
7,1602000,4473.1682,880.4361,261.2464,416.4452,2915.0406
8,1602200,4430.8541,861.6121,260.5954,416.2294,2892.4172
9,1602400,4479.447,887.059,253.6504,415.9375,2922.8002
10,1602600,4484.8923,873.1728,258.5032,410.5914,2942.6249
11,1602800,4412.5974,862.7522,256.2321,409.8226,2883.7904
11,1603000,4408.0159,863.8789,251.3118,404.1001,2888.7251
12,1603200,4402.3886,867.625,251.2657,399.1467,2884.3511
13,1603400,4531.917,878.6378,257.7188,415.9956,2979.5648
14,1603600,4416.102,864.8982,251.2129,401.6798,2898.3111
15,1603800,4372.4903,846.1549,243.7971,391.2152,2891.3231
15,1604000,4375.8432,850.3538,247.5831,396.164,2881.7423
16,1604200,4434.8238,867.3579,247.0242,394.3195,2926.1223
17,1604400,4385.3263,855.362,240.9908,386.4131,2902.5605
18,1604600,4374.3271,847.2381,246.6766,396.3288,2884.0835
19,1604800,4334.3241,845.6531,234.2609,380.0258,2874.3844
19,1605000,4363.4396,848.2965,238.945,385.3016,2890.8966
20,1605200,4346.4162,851.2151,237.6026,382.3526,2875.246
21,1605400,4352.5611,844.1987,233.16,379.6961,2895.5062
22,1605600,4345.4691,839.9375,241.6905,388.966,2874.8752
23,1605800,4299.0963,838.6863,234.9111,376.1682,2849.3306
23,1606000,4374.4168,852.2153,235.887,378.0937,2908.2208
24,1606200,4334.1691,842.3521,233.459,375.1309,2883.2272
25,1606400,4250.6773,834.2794,224.359,366.0665,2825.9724
26,1606600,4393.5119,848.0748,243.1514,382.247,2920.0387
27,1606800,4308.4768,833.3347,228.8065,368.1006,2878.2349
27,1607000,4333.4129,841.4685,233.0619,372.2903,2886.5922
28,1607200,4370.1247,852.5907,231.4176,370.1246,2915.9918
29,1607400,4263.2781,823.8222,228.1555,372.0576,2839.2428
30,1607600,4341.2365,848.7142,228.6606,367.4337,2896.4281
31,1607800,4285.5907,833.7127,226.8275,364.8626,2860.188
31,1608000,4268.8887,832.4313,223.9808,359.8634,2852.6133
32,1608200,4284.8519,830.7221,226.4347,364.3771,2863.318
33,1608400,4329.2256,841.904,226.7858,365.1273,2895.4085
34,1608600,4271.0014,828.9534,222.1874,355.3914,2864.4692
35,1608800,4293.0688,832.8014,229.7697,367.7402,2862.7575
35,1609000,4221.5912,819.8078,220.5867,352.9768,2828.2199
36,1609200,4369.534,845.8635,225.7496,359.0276,2938.8933
37,1609400,4263.5565,830.8135,224.4936,358.6368,2849.6125
38,1609600,4333.2906,846.9024,222.0376,360.5257,2903.8249
39,1609800,4336.3523,842.2956,223.2427,363.4727,2907.3413
39,1610000,4296.2498,834.3335,222.0935,354.7851,2885.0377
40,1610200,4347.2903,845.6681,218.9974,351.8313,2930.7935
41,1610400,4210.9288,814.8745,221.8606,356.3728,2817.8209
42,1610600,4230.7312,825.3881,211.0605,336.5362,2857.7464
43,1610800,4231.7139,821.8001,219.9433,355.3362,2834.6343
43,1611000,4199.5483,814.762,217.0534,341.6386,2826.0943
44,1611200,4252.7053,828.0427,218.2543,355.4085,2850.9998
45,1611400,4261.8744,826.0248,216.9798,348.5218,2870.348
46,1611600,4223.2612,822.6374,214.5153,340.7911,2845.3174
47,1611800,4283.6261,832.8185,218.3303,349.4848,2882.9925
47,1612000,4256.3072,824.9314,215.7194,346.0954,2869.561
48,1612200,4188.2398,817.3333,212.6538,343.1367,2815.116
49,1612400,4266.0771,825.857,216.1486,340.868,2883.2034
50,1612600,4249.9943,827.6631,216.1226,349.7102,2856.4984
51,1612800,4272.2389,831.6531,212.383,341.3062,2886.8966
51,1613000,4192.8462,815.107,209.8438,339.4021,2828.4934
52,1613200,4168.6569,811.3529,211.3925,333.3238,2812.5878
53,1613400,4293.5661,834.7732,212.5599,343.8978,2902.3352
54,1613600,4222.0886,818.0863,208.6974,336.6921,2858.6128
54,1613800,4217.1399,823.8755,212.4131,338.0234,2842.8279
55,1614000,4201.0805,816.5996,210.3911,337.7345,2836.3553
56,1614200,4228.4866,825.9352,207.4027,330.4293,2864.7194
57,1614400,4255.1461,829.1756,213.8692,343.2395,2868.8617
58,1614600,4196.0655,808.0351,210.2233,336.5115,2841.2957
58,1614800,4205.9632,822.7837,206.6739,335.7446,2840.761
59,1615000,4275.1107,831.2149,212.1839,337.5157,2894.1962
60,1615200,4214.0029,824.0887,207.2042,330.4898,2852.2201
61,1615400,4236.067,820.2202,208.7682,336.8323,2870.2463
62,1615600,4206.652,821.4081,206.8801,329.8144,2848.5494
62,1615800,4184.9423,811.3284,206.9154,330.9551,2835.7434
63,1616000,4187.5394,815.2638,206.3312,328.3434,2837.6009
64,1616200,4187.3825,818.3448,201.4696,325.85,2841.7181
65,1616400,4239.8942,821.3363,210.2771,334.6209,2873.66
66,1616600,4112.1819,802.0437,200.7248,318.6618,2790.7517
66,1616800,4248.4902,823.9822,207.3035,334.6401,2882.5644
67,1617000,4171.434,817.1859,197.533,318.5583,2838.1568
68,1617200,4240.92,818.3984,207.0736,334.0104,2881.4376
69,1617400,4162.7462,813.3985,206.4646,325.9613,2816.9218
70,1617600,4224.378,822.8207,199.296,321.6733,2880.588
70,1617800,4142.716,808.8223,199.838,319.4373,2814.6184
71,1618000,4174.8526,811.9757,197.7355,318.1129,2847.0285
72,1618200,4147.3362,812.7771,200.0943,318.8913,2815.5735
73,1618400,4188.7009,809.2059,204.2783,324.8838,2850.3328
74,1618600,4195.4679,818.2341,200.2921,322.3292,2854.6125
74,1618800,4198.3595,815.2324,204.6625,327.6015,2850.8631
75,1619000,4172.5431,813.4834,199.3057,316.1646,2843.5893
76,1619200,4139.7387,802.4916,197.7059,315.3273,2824.2138
77,1619400,4180.87,814.5687,203.4584,317.8238,2845.019
78,1619600,4120.3393,800.0632,197.9004,314.7659,2807.6098
78,1619800,4165.4497,814.3567,201.0528,319.2345,2830.8058
79,1620000,4204.8434,814.8801,201.5198,325.5277,2862.9159
80,1620200,4175.4424,816.7488,195.7495,307.7703,2855.1738
81,1620400,4204.5017,818.0902,201.8075,318.2685,2866.3356
82,1620600,4129.517,807.4636,192.9643,309.1645,2819.9246
82,1620800,4174.3111,810.8447,200.5766,319.9645,2842.9253
83,1621000,4064.4529,795.279,186.7506,297.4431,2784.9802
84,1621200,4142.0709,809.0357,201.173,320.4283,2811.4339
85,1621400,4175.6338,809.8532,198.1147,314.2651,2853.4008
86,1621600,4216.3314,821.3406,196.0333,316.6803,2882.2772
86,1621800,4143.3999,810.2325,195.2995,312.6377,2825.2302
87,1622000,4153.7371,815.423,192.5921,306.1915,2839.5306
88,1622200,4224.9253,819.6595,204.677,321.0026,2879.5862
89,1622400,4205.6332,817.8563,195.3855,313.3764,2879.015
90,1622600,4047.7624,793.1909,191.0269,302.3929,2761.1517
90,1622800,4098.4157,797.5088,192.1501,305.8369,2802.9199
91,1623000,4163.2473,810.6634,193.0489,308.5345,2851.0005
92,1623200,4162.1693,808.7709,197.6903,304.5922,2851.1159
93,1623400,4109.4091,800.4754,193.8581,308.7151,2806.3605
94,1623600,4181.993,813.997,196.1996,312.6136,2859.1827
94,1623800,4113.6529,803.7648,193.1182,305.8861,2810.8838
95,1624000,4213.9637,822.414,194.6696,311.6307,2885.2494
96,1624200,4111.7784,806.2424,189.9111,300.6341,2814.9909
97,1624400,4181.163,810.8157,195.727,308.0729,2866.5475
98,1624600,4141.1195,809.0374,195.6427,310.7533,2825.6861
98,1624800,4095.5203,798.964,187.6956,297.9236,2810.9371
99,1625000,4184.067,818.6929,193.2799,305.443,2866.6511
100,1625200,4125.7122,803.3126,191.5896,305.5889,2825.2211
101,1625400,4114.2938,800.1419,189.7665,298.3892,2825.9962
102,1625600,4087.8363,796.6254,191.1921,301.8207,2798.198
102,1625800,4132.3159,805.129,188.0641,301.2745,2837.8483
103,1626000,4133.3755,805.9974,194.2843,304.9404,2828.1535
104,1626200,4136.8561,806.0436,190.8359,300.326,2839.6507
105,1626400,4060.586,790.8774,183.9662,290.8663,2794.8761
106,1626600,4102.9812,801.7855,189.9903,302.7362,2808.4692
106,1626800,4163.7971,812.1642,191.4721,300.4469,2859.7139
107,1627000,4038.714,791.7706,180.1282,291.2737,2775.5414
108,1627200,4139.3872,807.9463,191.9881,302.517,2836.9358
109,1627400,4183.2338,818.3436,190.3857,303.1453,2871.3591
110,1627600,4067.0639,792.4517,186.3203,292.3373,2795.9546
110,1627800,4110.6675,803.8088,186.9516,296.9334,2822.9737
111,1628000,4112.4269,806.4899,187.3203,296.7761,2821.8407
112,1628200,4109.8496,796.6587,188.5569,296.0184,2828.6157
113,1628400,4111.5554,806.9987,187.2968,297.8826,2819.3773
113,1628600,4036.3926,788.9841,181.356,287.975,2778.0775
114,1628800,4108.8486,801.0443,188.9548,294.002,2824.8475
115,1629000,4162.3921,814.7,189.0416,297.8032,2860.8473
116,1629200,4102.8972,801.5959,187.846,292.7358,2820.7195
117,1629400,4141.3486,805.4233,186.2592,294.5386,2855.1276
117,1629600,4130.6614,805.8427,183.6694,292.0578,2849.0916
118,1629800,4082.224,802.847,183.5053,292.9111,2802.9606
119,1630000,4061.3736,791.215,183.3496,291.1571,2795.6518
120,1630200,4150.6515,810.6749,183.0618,291.2556,2865.6592
121,1630400,4176.9957,817.2681,190.9201,303.2751,2865.5323
121,1630600,4097.8828,802.8265,184.1857,289.6161,2821.2546
122,1630800,4062.332,794.2176,183.0366,286.7281,2798.3497
123,1631000,4060.6674,794.5757,182.3199,293.1592,2790.6126
124,1631200,4050.2801,793.7972,178.6113,279.7882,2798.0835
125,1631400,4205.4738,817.5842,191.4455,302.496,2893.9482
125,1631600,4047.9755,792.4939,183.0571,288.0231,2784.4014
126,1631800,4139.2848,807.9805,184.144,288.3381,2858.8223
127,1632000,3998.8608,784.51,178.0413,288.7516,2747.5579
128,1632200,4058.1008,794.9471,178.9192,282.4337,2801.8009
129,1632400,4129.6335,808.515,181.9995,286.5746,2852.5445
129,1632600,4083.1609,793.906,186.8652,293.8222,2808.5675
130,1632800,4055.6763,796.624,177.8994,282.3564,2798.7965
