Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,5221.9936,1043.5278,417.0471,717.2608,3044.1579
1,1600400,5095.5602,1020.8622,385.9451,642.2404,3046.5125
2,1600600,4952.9498,996.1214,368.9194,599.1738,2988.7353
3,1600800,4924.3473,1003.9909,347.0329,573.2184,3000.1053
4,1601000,4911.5281,985.8234,358.7893,575.4928,2991.4226
4,1601200,4840.009,980.7502,341.2329,545.6528,2972.3731
5,1601400,4763.6879,964.2792,324.3434,515.9596,2959.1057
6,1601600,4889.7613,987.6932,338.5414,544.0636,3019.4631
7,1601800,4805.4888,964.1072,332.2864,520.1329,2988.9623
7,1602000,4790.9287,971.7143,320.9239,507.7882,2990.5024
8,1602200,4756.9621,962.3157,315.9039,507.4786,2971.2638
9,1602400,4768.6919,959.7224,317.2252,497.2565,2994.4879
10,1602600,4733.7524,953.7445,316.8117,498.7201,2964.4761
11,1602800,4756.8661,956.1864,311.6876,495.5843,2993.4078
11,1603000,4613.1283,931.4789,296.223,476.6994,2908.727
12,1603200,4758.0534,955.1318,308.0169,490.1224,3004.7822
13,1603400,4620.0468,929.2603,295.1864,470.61,2924.9901
14,1603600,4656.4189,935.092,306.3868,476.9252,2938.0149
15,1603800,4715.7984,943.4174,305.7558,486.7953,2979.8299
15,1604000,4681.7619,939.3409,301.3362,476.9132,2964.1716
16,1604200,4703.8296,940.4055,303.089,470.513,2989.8221
17,1604400,4633.1991,926.1648,291.159,463.9757,2951.8994
18,1604600,4670.4379,936.8266,295.1414,471.5283,2966.9415
19,1604800,4608.8495,918.3536,293.9475,467.5024,2929.046
19,1605000,4674.3637,938.4538,298.0301,468.4168,2969.463
20,1605200,4656.0738,935.5461,285.546,461.0429,2973.9388
21,1605400,4683.5204,931.635,297.9713,473.2637,2980.6503
22,1605600,4608.7127,918.4336,290.7934,461.5648,2937.921
23,1605800,4602.4896,915.7639,288.8201,463.4666,2934.439
23,1606000,4643.7386,925.7965,293.3766,461.5194,2963.0462
24,1606200,4589.3544,914.7092,281.9988,449.0477,2943.5987
25,1606400,4627.841,913.9112,295.0946,460.0108,2958.8245
26,1606600,4508.8326,905.2603,276.8897,443.9778,2882.7048
27,1606800,4641.6718,918.8847,290.7807,460.1367,2971.8695
27,1607000,4617.0757,917.7485,286.3218,452.6111,2960.3943
28,1607200,4569.4599,909.9154,279.1634,448.3209,2932.0601
29,1607400,4625.6174,924.5085,285.8092,456.2276,2959.0721
30,1607600,4660.3483,921.581,287.7617,458.9547,2992.0508
31,1607800,4546.5457,899.964,284.7955,443.647,2918.1392
31,1608000,4560.7116,906.8423,278.9026,445.7213,2929.2455
32,1608200,4585.1089,904.3413,278.673,444.6854,2957.4093
33,1608400,4548.7737,910.2641,279.5157,446.4168,2912.5771
34,1608600,4562.8619,897.1453,286.3029,445.425,2933.9887
35,1608800,4603.9452,915.1774,279.131,444.1965,2965.4404
35,1609000,4569.7565,904.6263,277.4136,443.6489,2944.0677
36,1609200,4534.0277,895.9023,270.4114,435.6422,2932.0719
37,1609400,4566.9111,907.547,281.3974,444.1811,2933.7856
38,1609600,4551.9778,898.8739,277.4404,444.3895,2931.274
39,1609800,4502.7085,890.9542,273.9416,438.4145,2899.3981
39,1610000,4483.115,886.9533,272.182,432.7256,2891.2541
40,1610200,4550.0572,899.4025,275.5609,444.9869,2930.1069
41,1610400,4546.0755,900.5629,279.381,432.9028,2933.2288
42,1610600,4515.1267,891.6353,263.9856,433.0776,2926.4282
43,1610800,4573.5323,905.0699,275.9281,439.8911,2952.6432
43,1611000,4544.3908,894.5219,273.5782,433.5125,2942.7782
44,1611200,4471.1698,880.8674,275.2793,434.0268,2880.9963
45,1611400,4574.7872,906.8622,266.3257,427.0762,2974.5231
46,1611600,4500.3149,891.1997,273.9227,437.2035,2897.989
46,1611800,4578.3317,907.3059,272.6742,436.6457,2961.7058
47,1612000,4503.3318,888.8811,270.1155,432.4711,2911.8641
48,1612200,4576.3184,905.2102,271.9055,438.2771,2960.9257
49,1612400,4534.7452,892.6331,269.2775,428.6793,2944.1553
50,1612600,4517.8451,889.8826,272.2757,427.9624,2927.7244
50,1612800,4481.4148,883.8896,270.2982,430.4659,2896.761
51,1613000,4475.4652,879.9481,267.8081,426.0174,2901.6916
52,1613200,4550.1113,898.7843,271.8265,426.2666,2953.2339
53,1613400,4430.6687,869.1502,263.9325,419.7289,2877.8571
54,1613600,4508.5689,888.1313,267.6772,426.9447,2925.8158
54,1613800,4534.3908,893.4489,270.346,431.5728,2939.0231
55,1614000,4590.0784,901.4373,275.3296,438.0537,2975.2578
56,1614200,4467.8827,882.3,267.4549,422.9757,2895.152
57,1614400,4500.6118,883.8275,264.8174,424.6818,2927.2851
58,1614600,4409.3468,870.7104,260.4255,421.9289,2856.282
58,1614800,4470.1604,877.3563,265.4726,424.003,2903.3286
