Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,1600200,5536.6713,985.09,363.5004,567.9725,3620.1085
1,1600400,5106.3844,942.468,305.658,475.0743,3383.1841
2,1600600,5031.2967,938.6617,295.5589,464.4325,3332.6436
3,1600800,4939.9883,932.9511,292.0755,454.3088,3260.6528
4,1601000,4854.0598,931.3502,290.8895,445.6753,3186.1447
4,1601200,4718.6576,910.242,286.7297,433.6254,3088.0605
5,1601400,4660.81,911.2355,277.3887,419.4564,3052.7294
6,1601600,4733.466,920.0946,284.0339,426.8799,3102.4577
7,1601800,4588.779,896.2315,269.0361,412.6175,3010.8939
7,1602000,4614.432,903.2836,276.2484,415.5886,3019.3113
8,1602200,4640.7906,909.985,277.0537,417.8977,3035.8543
9,1602400,4534.2935,890.4287,263.6386,393.7306,2986.4956
10,1602600,4607.6125,898.1538,278.1015,416.7575,3014.5997
11,1602800,4521.6691,888.9419,262.3461,398.353,2972.0282
11,1603000,4540.0738,889.7552,267.8121,403.1772,2979.3294
12,1603200,4558.8117,892.6599,265.2977,396.2223,3004.6318
13,1603400,4575.4037,889.3622,266.2076,402.0462,3017.7878
14,1603600,4446.4628,872.5697,259.9823,390.1239,2923.787
15,1603800,4572.3748,897.2471,263.1055,394.4901,3017.5321
15,1604000,4504.0488,882.9858,258.4566,395.5573,2967.0492
16,1604200,4533.9381,889.1353,263.5305,392.8555,2988.4167
17,1604400,4570.0377,896.8132,259.5697,392.3248,3021.33
18,1604600,4518.5005,882.3703,257.1835,386.4808,2992.466
19,1604800,4529.4756,892.6394,259.0095,393.8618,2983.9648
19,1605000,4498.0594,883.6627,251.2119,380.3985,2982.7862
20,1605200,4567.1104,889.5272,257.6053,392.9802,3026.9977
21,1605400,4520.5779,891.2668,254.7727,388.6181,2985.9203
22,1605600,4506.3906,881.333,250.7134,377.8825,2996.4616
23,1605800,4373.2053,857.1693,243.0037,369.5724,2903.46
23,1606000,4496.7479,882.9771,252.0335,380.9607,2980.7767
24,1606200,4450.4955,871.8935,250.6237,378.4489,2949.5294
25,1606400,4497.9742,879.4981,247.0281,378.188,2993.26
26,1606600,4401.703,860.4204,247.6424,371.6968,2921.9435
27,1606800,4529.9323,888.045,251.2411,384.4923,3006.1538
27,1607000,4431.9576,867.7897,243.9171,371.9821,2948.2687
28,1607200,4417.7343,867.8047,238.1138,364.053,2947.7627
29,1607400,4456.6476,876.7481,246.7066,371.3815,2961.8114
30,1607600,4503.5188,879.6791,247.7606,380.3144,2995.7646
31,1607800,4425.7237,870.313,240.2893,364.9771,2950.1443
31,1608000,4464.4744,877.6564,240.4074,370.9522,2975.4584
32,1608200,4340.2141,845.1143,235.029,354.8062,2905.2645
33,1608400,4497.3113,883.7957,247.9387,379.5269,2986.05
34,1608600,4373.4848,861.035,233.966,362.1207,2916.3631
35,1608800,4447.4319,866.6109,239.1738,362.4548,2979.1924
35,1609000,4429.6757,866.8306,239.8622,366.4944,2956.4885
36,1609200,4406.7157,864.1217,232.3793,356.8395,2953.3752
37,1609400,4387.3593,858.8648,237.5542,361.9677,2928.9725
38,1609600,4358.5253,858.1814,234.8148,360.664,2904.865
39,1609800,4336.1187,847.3705,233.8778,356.2583,2898.6122
39,1610000,4403.314,861.8425,235.3771,365.9088,2940.1855
40,1610200,4432.1049,871.7697,237.507,361.8998,2960.9283
41,1610400,4418.0865,862.3051,235.4493,355.9546,2964.3775
42,1610600,4339.5284,854.1151,230.1918,356.1306,2899.091
42,1610800,4413.3449,863.9981,234.1473,356.0396,2959.1599
43,1611000,4384.3308,862.643,229.6492,350.8511,2941.1875
44,1611200,4339.0395,843.0749,227.6763,352.4338,2915.8544
45,1611400,4418.4626,870.2726,236.8234,357.1917,2954.1749
46,1611600,4371.3958,855.8244,230.2591,349.4342,2935.8781
46,1611800,4409.7319,866.0325,232.9035,361.2882,2949.5077
47,1612000,4467.1316,877.529,232.4616,356.132,3001.009
48,1612200,4348.1115,854.3838,225.282,347.1261,2921.3197
49,1612400,4446.0092,861.9967,241.5465,368.6818,2973.7841
50,1612600,4444.7466,872.8928,231.8389,358.8073,2981.2077
50,1612800,4348.4282,849.6799,225.93,343.5474,2929.2708
51,1613000,4386.7537,857.0985,232.8004,352.6518,2944.203
52,1613200,4350.7858,852.1904,223.5574,342.4936,2932.5444
53,1613400,4350.9728,854.3228,228.7434,350.0156,2917.8911
