Epoch,Global Step,Loss,NLL-Loss,Arc-Loss,Brc-Loss,Align-Loss
0,200,6513.0676,2000.3075,356.6457,548.4512,3607.6632
1,400,6073.7173,1706.7718,320.8623,518.8494,3527.2338
2,600,5630.456,1494.8854,288.047,472.9787,3374.545
3,800,5534.2736,1379.5844,292.0501,468.4628,3394.1764
3,1000,5366.181,1301.1896,277.463,458.0435,3329.485
4,1200,5272.3528,1235.5238,271.2821,449.0972,3316.4497
5,1400,5261.3685,1216.644,277.2944,452.0313,3315.3989
6,1600,5117.5084,1157.9897,263.0257,419.2573,3277.2357
7,1800,5137.2413,1151.3137,258.2404,431.529,3296.1582
7,2000,5031.4896,1117.0841,258.4876,419.7098,3236.2081
8,2200,4964.0683,1084.6457,255.9081,417.4012,3206.1133
9,2400,5002.1785,1086.0392,252.6962,415.2798,3248.1633
10,2600,4880.7972,1041.8863,252.6815,409.1325,3177.0967
11,2800,4942.0586,1063.096,248.8347,408.2716,3221.8563
11,3000,4904.5508,1043.2335,246.8012,403.6084,3210.9077
12,3200,4844.262,1023.5599,240.3787,395.0197,3185.3037
13,3400,4725.2906,994.9096,230.4839,382.876,3117.0211
14,3600,4825.2419,1006.6279,244.4952,398.6138,3175.505
15,3800,4792.7682,993.6616,235.1284,388.824,3175.1541
15,4000,4732.7202,977.9788,235.5198,383.3064,3135.9151
16,4200,4766.4383,982.9858,231.5145,380.6902,3171.2478
17,4400,4747.5366,974.3168,239.0989,389.837,3144.2839
18,4600,4693.6342,961.0828,225.7759,373.8063,3132.9692
19,4800,4768.5005,970.6378,234.0385,386.9141,3176.91
19,5000,4724.5547,959.3196,228.7629,379.2007,3157.2715
20,5200,4593.7104,929.8345,220.654,360.8304,3082.3915
21,5400,4703.1288,951.761,222.7329,369.1799,3159.455
22,5600,4619.5244,931.1756,220.0072,364.7814,3103.5602
23,5800,4684.0163,941.5989,223.5423,367.1047,3151.7704
23,6000,4554.3918,914.2919,214.9275,353.1004,3072.0719
24,6200,4708.7212,938.7155,219.0613,362.1969,3188.7475
